timestamp,node_id,pid,name,cpu,memory,threads,status
2026-05-29T12:21:25.474687+00:00,test-node-1,1,proc-a,15,4,2,running
2026-05-29T12:21:25.474687+00:00,test-node-1,2,proc-b,7,2,1,sleeping
2026-05-29T12:36:23.514099+00:00,LAPTOP-RSR05V3M,4408,MemCompression,0.0,9.4,214,running
2026-05-29T12:36:23.514099+00:00,LAPTOP-RSR05V3M,31040,Code.exe,0.0,5.4,28,running
2026-05-29T12:36:23.514099+00:00,LAPTOP-RSR05V3M,30284,Code.exe,0.0,4.0,47,running
2026-05-29T12:36:23.514099+00:00,LAPTOP-RSR05V3M,12196,msedgewebview2.exe,0.0,3.8,35,running
2026-05-29T12:36:23.514099+00:00,LAPTOP-RSR05V3M,15844,Code.exe,0.0,3.7,13,running
2026-05-29T12:36:23.514099+00:00,LAPTOP-RSR05V3M,31452,vmmemWSL,0.0,3.5,49,running
2026-05-29T12:36:23.514099+00:00,LAPTOP-RSR05V3M,10104,chrome.exe,0.0,3.2,31,running
2026-05-29T12:36:23.514099+00:00,LAPTOP-RSR05V3M,10816,msedgewebview2.exe,0.0,2.8,58,running
2026-05-29T12:36:23.514099+00:00,LAPTOP-RSR05V3M,5640,MsMpEng.exe,0.0,1.3,64,running
2026-05-29T12:36:23.514099+00:00,LAPTOP-RSR05V3M,8648,chrome.exe,0.0,1.3,69,running
2026-05-29T12:36:35.980162+00:00,LAPTOP-RSR05V3M,0,System Idle Process,1339.4,0.0,48,running
2026-05-29T12:36:35.980162+00:00,LAPTOP-RSR05V3M,33672,python.exe,75.8,0.4,6,running
2026-05-29T12:36:35.980162+00:00,LAPTOP-RSR05V3M,31040,Code.exe,34.3,5.4,28,running
2026-05-29T12:36:35.980162+00:00,LAPTOP-RSR05V3M,34380,Code.exe,17.5,0.8,37,running
2026-05-29T12:36:35.980162+00:00,LAPTOP-RSR05V3M,4,System,17.5,0.0,484,running
2026-05-29T12:36:35.980162+00:00,LAPTOP-RSR05V3M,30284,Code.exe,14.7,3.7,47,running
2026-05-29T12:36:35.980162+00:00,LAPTOP-RSR05V3M,26688,dwm.exe,8.6,0.6,60,running
2026-05-29T12:36:35.980162+00:00,LAPTOP-RSR05V3M,10308,CrossDeviceService.exe,5.9,0.8,151,running
2026-05-29T12:36:35.980162+00:00,LAPTOP-RSR05V3M,6436,svchost.exe,5.5,0.1,11,running
2026-05-29T12:36:35.980162+00:00,LAPTOP-RSR05V3M,15844,Code.exe,5.4,3.7,13,running
2026-05-29T12:36:48.448887+00:00,LAPTOP-RSR05V3M,0,System Idle Process,1385.3,0.0,48,running
2026-05-29T12:36:48.448887+00:00,LAPTOP-RSR05V3M,33672,python.exe,74.3,0.4,8,running
2026-05-29T12:36:48.448887+00:00,LAPTOP-RSR05V3M,4,System,16.9,0.0,484,running
2026-05-29T12:36:48.448887+00:00,LAPTOP-RSR05V3M,30284,Code.exe,13.2,3.4,47,running
2026-05-29T12:36:48.448887+00:00,LAPTOP-RSR05V3M,31040,Code.exe,12.3,5.0,28,running
2026-05-29T12:36:48.448887+00:00,LAPTOP-RSR05V3M,24116,svchost.exe,6.2,0.1,19,running
2026-05-29T12:36:48.448887+00:00,LAPTOP-RSR05V3M,6436,svchost.exe,6.1,0.1,11,running
2026-05-29T12:36:48.448887+00:00,LAPTOP-RSR05V3M,26688,dwm.exe,5.9,0.6,60,running
2026-05-29T12:36:48.448887+00:00,LAPTOP-RSR05V3M,5640,MsMpEng.exe,5.4,1.3,64,running
2026-05-29T12:36:48.448887+00:00,LAPTOP-RSR05V3M,5504,RtkBtManServ.exe,3.7,0.0,9,running
2026-05-29T12:37:00.461190+00:00,LAPTOP-RSR05V3M,0,System Idle Process,1412.6,0.0,48,running
2026-05-29T12:37:00.461190+00:00,LAPTOP-RSR05V3M,33672,python.exe,75.9,0.4,8,running
2026-05-29T12:37:00.461190+00:00,LAPTOP-RSR05V3M,31040,Code.exe,30.2,5.0,28,running
2026-05-29T12:37:00.461190+00:00,LAPTOP-RSR05V3M,34380,Code.exe,12.7,0.7,37,running
2026-05-29T12:37:00.461190+00:00,LAPTOP-RSR05V3M,4,System,12.1,0.0,484,running
2026-05-29T12:37:00.461190+00:00,LAPTOP-RSR05V3M,26688,dwm.exe,11.2,0.6,60,running
2026-05-29T12:37:00.461190+00:00,LAPTOP-RSR05V3M,38880,Code.exe,5.2,0.7,53,running
2026-05-29T12:37:00.461190+00:00,LAPTOP-RSR05V3M,6436,svchost.exe,4.1,0.1,11,running
2026-05-29T12:37:00.461190+00:00,LAPTOP-RSR05V3M,30284,Code.exe,4.0,2.8,46,running
2026-05-29T12:37:00.461190+00:00,LAPTOP-RSR05V3M,24116,svchost.exe,3.9,0.1,18,running
2026-05-29T12:37:08.436138+00:00,LAPTOP-RSR05V3M,4408,MemCompression,0.0,9.4,214,running
2026-05-29T12:37:08.436138+00:00,LAPTOP-RSR05V3M,31040,Code.exe,0.0,5.2,28,running
2026-05-29T12:37:08.436138+00:00,LAPTOP-RSR05V3M,12196,msedgewebview2.exe,0.0,3.8,35,running
2026-05-29T12:37:08.436138+00:00,LAPTOP-RSR05V3M,15844,Code.exe,0.0,3.7,13,running
2026-05-29T12:37:08.436138+00:00,LAPTOP-RSR05V3M,31452,vmmemWSL,0.0,3.6,49,running
2026-05-29T12:37:08.436138+00:00,LAPTOP-RSR05V3M,30284,Code.exe,0.0,3.5,47,running
2026-05-29T12:37:08.436138+00:00,LAPTOP-RSR05V3M,10104,chrome.exe,0.0,3.2,31,running
2026-05-29T12:37:08.436138+00:00,LAPTOP-RSR05V3M,10816,msedgewebview2.exe,0.0,2.8,58,running
2026-05-29T12:37:08.436138+00:00,LAPTOP-RSR05V3M,8648,chrome.exe,0.0,1.4,69,running
2026-05-29T12:37:08.436138+00:00,LAPTOP-RSR05V3M,35132,chrome.exe,0.0,1.3,53,running
2026-05-29T12:37:13.403453+00:00,LAPTOP-RSR05V3M,0,System Idle Process,1315.9,0.0,48,running
2026-05-29T12:37:13.403453+00:00,LAPTOP-RSR05V3M,33672,python.exe,77.1,0.4,5,running
2026-05-29T12:37:13.403453+00:00,LAPTOP-RSR05V3M,31040,Code.exe,42.1,5.3,28,running
2026-05-29T12:37:13.403453+00:00,LAPTOP-RSR05V3M,34380,Code.exe,17.2,0.7,37,running
2026-05-29T12:37:13.403453+00:00,LAPTOP-RSR05V3M,30284,Code.exe,15.3,3.8,47,running
2026-05-29T12:37:13.403453+00:00,LAPTOP-RSR05V3M,4,System,11.4,0.0,484,running
2026-05-29T12:37:13.403453+00:00,LAPTOP-RSR05V3M,5640,MsMpEng.exe,8.7,1.2,64,running
2026-05-29T12:37:13.403453+00:00,LAPTOP-RSR05V3M,26688,dwm.exe,8.6,0.6,60,running
2026-05-29T12:37:13.403453+00:00,LAPTOP-RSR05V3M,10308,CrossDeviceService.exe,6.3,0.8,151,running
2026-05-29T12:37:13.403453+00:00,LAPTOP-RSR05V3M,24116,svchost.exe,5.8,0.1,18,running
2026-05-29T12:37:22.108437+00:00,LAPTOP-RSR05V3M,0,System Idle Process,1255.6,0.0,48,running
2026-05-29T12:37:22.108437+00:00,LAPTOP-RSR05V3M,39472,python.exe,79.0,0.4,6,running
2026-05-29T12:37:22.108437+00:00,LAPTOP-RSR05V3M,33672,python.exe,78.4,0.4,5,running
2026-05-29T12:37:22.108437+00:00,LAPTOP-RSR05V3M,31040,Code.exe,46.6,5.2,28,running
2026-05-29T12:37:22.108437+00:00,LAPTOP-RSR05V3M,4,System,15.3,0.0,483,running
2026-05-29T12:37:22.108437+00:00,LAPTOP-RSR05V3M,30284,Code.exe,15.1,3.9,47,running
2026-05-29T12:37:22.108437+00:00,LAPTOP-RSR05V3M,34380,Code.exe,14.9,0.7,37,running
2026-05-29T12:37:22.108437+00:00,LAPTOP-RSR05V3M,24116,svchost.exe,8.7,0.1,18,running
2026-05-29T12:37:22.108437+00:00,LAPTOP-RSR05V3M,26688,dwm.exe,8.5,0.6,60,running
2026-05-29T12:37:22.108437+00:00,LAPTOP-RSR05V3M,5640,MsMpEng.exe,6.9,1.3,64,running
2026-05-29T12:37:27.165563+00:00,LAPTOP-RSR05V3M,0,System Idle Process,1249.9,0.0,48,running
2026-05-29T12:37:27.165563+00:00,LAPTOP-RSR05V3M,33672,python.exe,78.8,0.4,5,running
2026-05-29T12:37:27.165563+00:00,LAPTOP-RSR05V3M,39472,python.exe,78.7,0.4,8,running
2026-05-29T12:37:27.165563+00:00,LAPTOP-RSR05V3M,31040,Code.exe,37.1,5.3,28,running
2026-05-29T12:37:27.165563+00:00,LAPTOP-RSR05V3M,4,System,19.3,0.0,483,running
2026-05-29T12:37:27.165563+00:00,LAPTOP-RSR05V3M,5640,MsMpEng.exe,13.7,1.4,64,running
2026-05-29T12:37:27.165563+00:00,LAPTOP-RSR05V3M,34380,Code.exe,10.5,0.7,37,running
2026-05-29T12:37:27.165563+00:00,LAPTOP-RSR05V3M,26688,dwm.exe,8.4,0.6,60,running
2026-05-29T12:37:27.165563+00:00,LAPTOP-RSR05V3M,24116,svchost.exe,7.3,0.1,18,running
2026-05-29T12:37:27.165563+00:00,LAPTOP-RSR05V3M,30284,Code.exe,7.1,3.9,47,running
2026-05-29T12:37:36.472365+00:00,LAPTOP-RSR05V3M,0,System Idle Process,1277.1,0.0,48,running
2026-05-29T12:37:36.472365+00:00,LAPTOP-RSR05V3M,33672,python.exe,77.4,0.4,5,running
2026-05-29T12:37:36.472365+00:00,LAPTOP-RSR05V3M,39472,python.exe,77.1,0.4,8,running
2026-05-29T12:37:36.472365+00:00,LAPTOP-RSR05V3M,4,System,16.6,0.0,483,running
2026-05-29T12:37:36.472365+00:00,LAPTOP-RSR05V3M,31040,Code.exe,12.2,5.3,28,running
2026-05-29T12:37:36.472365+00:00,LAPTOP-RSR05V3M,5640,MsMpEng.exe,11.9,1.4,65,running
2026-05-29T12:37:36.472365+00:00,LAPTOP-RSR05V3M,26688,dwm.exe,6.6,0.6,60,running
2026-05-29T12:37:36.472365+00:00,LAPTOP-RSR05V3M,24116,svchost.exe,5.0,0.1,18,running
2026-05-29T12:37:36.472365+00:00,LAPTOP-RSR05V3M,6436,svchost.exe,4.6,0.1,11,running
2026-05-29T12:37:36.472365+00:00,LAPTOP-RSR05V3M,5504,RtkBtManServ.exe,3.9,0.0,9,running
2026-05-29T12:37:41.446610+00:00,LAPTOP-RSR05V3M,0,System Idle Process,1292.1,0.0,48,running
2026-05-29T12:37:41.446610+00:00,LAPTOP-RSR05V3M,39472,python.exe,77.4,0.4,8,running
2026-05-29T12:37:41.446610+00:00,LAPTOP-RSR05V3M,33672,python.exe,77.0,0.4,5,running
2026-05-29T12:37:41.446610+00:00,LAPTOP-RSR05V3M,4,System,13.0,0.0,483,running
2026-05-29T12:37:41.446610+00:00,LAPTOP-RSR05V3M,31040,Code.exe,9.2,5.2,28,running
2026-05-29T12:37:41.446610+00:00,LAPTOP-RSR05V3M,24116,svchost.exe,6.3,0.1,18,running
2026-05-29T12:37:41.446610+00:00,LAPTOP-RSR05V3M,26688,dwm.exe,5.9,0.6,60,running
2026-05-29T12:37:41.446610+00:00,LAPTOP-RSR05V3M,5640,MsMpEng.exe,4.8,1.5,65,running
2026-05-29T12:37:41.446610+00:00,LAPTOP-RSR05V3M,10308,CrossDeviceService.exe,4.0,0.8,152,running
2026-05-29T12:37:41.446610+00:00,LAPTOP-RSR05V3M,11488,sihost.exe,3.2,0.2,13,running
2026-05-29T12:37:49.753886+00:00,LAPTOP-RSR05V3M,0,System Idle Process,1323.9,0.0,48,running
2026-05-29T12:37:49.753886+00:00,LAPTOP-RSR05V3M,39472,python.exe,77.4,0.4,8,running
2026-05-29T12:37:49.753886+00:00,LAPTOP-RSR05V3M,33672,python.exe,77.0,0.4,5,running
2026-05-29T12:37:49.753886+00:00,LAPTOP-RSR05V3M,4,System,14.0,0.0,484,running
2026-05-29T12:37:49.753886+00:00,LAPTOP-RSR05V3M,31040,Code.exe,11.3,5.2,28,running
2026-05-29T12:37:49.753886+00:00,LAPTOP-RSR05V3M,24116,svchost.exe,7.2,0.1,18,running
2026-05-29T12:37:49.753886+00:00,LAPTOP-RSR05V3M,5640,MsMpEng.exe,6.1,1.3,65,running
2026-05-29T12:37:49.753886+00:00,LAPTOP-RSR05V3M,26688,dwm.exe,6.0,0.5,60,running
2026-05-29T12:37:49.753886+00:00,LAPTOP-RSR05V3M,6436,svchost.exe,4.0,0.1,11,running
2026-05-29T12:37:49.753886+00:00,LAPTOP-RSR05V3M,5504,RtkBtManServ.exe,3.7,0.0,9,running
2026-05-29T12:37:54.926185+00:00,LAPTOP-RSR05V3M,0,System Idle Process,1333.0,0.0,48,running
2026-05-29T12:37:54.926185+00:00,LAPTOP-RSR05V3M,39472,python.exe,77.1,0.4,8,running
2026-05-29T12:37:54.926185+00:00,LAPTOP-RSR05V3M,33672,python.exe,77.0,0.4,5,running
2026-05-29T12:37:54.926185+00:00,LAPTOP-RSR05V3M,4,System,15.4,0.0,484,running
2026-05-29T12:37:54.926185+00:00,LAPTOP-RSR05V3M,31040,Code.exe,10.6,5.2,28,running
2026-05-29T12:37:54.926185+00:00,LAPTOP-RSR05V3M,24116,svchost.exe,7.2,0.1,18,running
2026-05-29T12:37:54.926185+00:00,LAPTOP-RSR05V3M,26688,dwm.exe,5.5,0.5,60,running
2026-05-29T12:37:54.926185+00:00,LAPTOP-RSR05V3M,5640,MsMpEng.exe,5.0,1.3,65,running
2026-05-29T12:37:54.926185+00:00,LAPTOP-RSR05V3M,6436,svchost.exe,4.4,0.1,11,running
2026-05-29T12:37:54.926185+00:00,LAPTOP-RSR05V3M,5504,RtkBtManServ.exe,3.9,0.0,9,running
2026-05-29T12:38:03.227385+00:00,LAPTOP-RSR05V3M,0,System Idle Process,1347.7,0.0,48,running
2026-05-29T12:38:03.227385+00:00,LAPTOP-RSR05V3M,39472,python.exe,77.3,0.4,5,running
2026-05-29T12:38:03.227385+00:00,LAPTOP-RSR05V3M,33672,python.exe,76.9,0.4,5,running
2026-05-29T12:38:03.227385+00:00,LAPTOP-RSR05V3M,4,System,14.0,0.0,485,running
2026-05-29T12:38:03.227385+00:00,LAPTOP-RSR05V3M,31040,Code.exe,8.2,5.3,28,running
2026-05-29T12:38:03.227385+00:00,LAPTOP-RSR05V3M,24116,svchost.exe,6.5,0.1,18,running
2026-05-29T12:38:03.227385+00:00,LAPTOP-RSR05V3M,26688,dwm.exe,5.2,0.5,60,running
2026-05-29T12:38:03.227385+00:00,LAPTOP-RSR05V3M,6436,svchost.exe,4.7,0.1,11,running
2026-05-29T12:38:03.227385+00:00,LAPTOP-RSR05V3M,5488,NahimicService.exe,4.2,0.1,11,running
2026-05-29T12:38:03.227385+00:00,LAPTOP-RSR05V3M,5504,RtkBtManServ.exe,3.4,0.0,9,running
2026-05-29T12:38:08.202860+00:00,LAPTOP-RSR05V3M,0,System Idle Process,1346.2,0.0,48,running
2026-05-29T12:38:08.202860+00:00,LAPTOP-RSR05V3M,39472,python.exe,77.3,0.4,5,running
2026-05-29T12:38:08.202860+00:00,LAPTOP-RSR05V3M,33672,python.exe,76.9,0.4,5,running
2026-05-29T12:38:08.202860+00:00,LAPTOP-RSR05V3M,4,System,12.7,0.0,483,running
2026-05-29T12:38:08.202860+00:00,LAPTOP-RSR05V3M,31040,Code.exe,8.5,5.2,28,running
2026-05-29T12:38:08.202860+00:00,LAPTOP-RSR05V3M,24116,svchost.exe,5.8,0.1,18,running
2026-05-29T12:38:08.202860+00:00,LAPTOP-RSR05V3M,26688,dwm.exe,5.5,0.5,60,running
2026-05-29T12:38:08.202860+00:00,LAPTOP-RSR05V3M,6436,svchost.exe,5.1,0.1,11,running
2026-05-29T12:38:08.202860+00:00,LAPTOP-RSR05V3M,5488,NahimicService.exe,4.2,0.1,11,running
2026-05-29T12:38:08.202860+00:00,LAPTOP-RSR05V3M,5640,MsMpEng.exe,3.6,1.2,65,running
2026-05-29T12:38:16.586016+00:00,LAPTOP-RSR05V3M,0,System Idle Process,1345.3,0.0,48,running
2026-05-29T12:38:16.586016+00:00,LAPTOP-RSR05V3M,39472,python.exe,77.1,0.4,5,running
2026-05-29T12:38:16.586016+00:00,LAPTOP-RSR05V3M,33672,python.exe,76.5,0.4,5,running
2026-05-29T12:38:16.586016+00:00,LAPTOP-RSR05V3M,4,System,13.8,0.0,483,running
2026-05-29T12:38:16.586016+00:00,LAPTOP-RSR05V3M,26688,dwm.exe,5.8,0.5,60,running
2026-05-29T12:38:16.586016+00:00,LAPTOP-RSR05V3M,5640,MsMpEng.exe,4.5,1.3,65,running
2026-05-29T12:38:16.586016+00:00,LAPTOP-RSR05V3M,24116,svchost.exe,4.4,0.1,19,running
2026-05-29T12:38:16.586016+00:00,LAPTOP-RSR05V3M,31040,Code.exe,3.9,5.2,28,running
2026-05-29T12:38:16.586016+00:00,LAPTOP-RSR05V3M,6436,svchost.exe,3.9,0.1,11,running
2026-05-29T12:38:16.586016+00:00,LAPTOP-RSR05V3M,5504,RtkBtManServ.exe,3.8,0.0,9,running
2026-05-29T12:38:21.465013+00:00,LAPTOP-RSR05V3M,0,System Idle Process,1364.4,0.0,48,running
2026-05-29T12:38:21.465013+00:00,LAPTOP-RSR05V3M,39472,python.exe,76.9,0.4,5,running
2026-05-29T12:38:21.465013+00:00,LAPTOP-RSR05V3M,33672,python.exe,76.8,0.4,5,running
2026-05-29T12:38:21.465013+00:00,LAPTOP-RSR05V3M,4,System,12.7,0.0,483,running
2026-05-29T12:38:21.465013+00:00,LAPTOP-RSR05V3M,4408,MemCompression,10.4,10.2,214,running
2026-05-29T12:38:21.465013+00:00,LAPTOP-RSR05V3M,4288,svchost.exe,6.2,0.1,4,running
2026-05-29T12:38:21.465013+00:00,LAPTOP-RSR05V3M,26688,dwm.exe,5.5,0.5,60,running
2026-05-29T12:38:21.465013+00:00,LAPTOP-RSR05V3M,24116,svchost.exe,4.8,0.1,19,running
2026-05-29T12:38:21.465013+00:00,LAPTOP-RSR05V3M,5640,MsMpEng.exe,4.2,1.2,65,running
2026-05-29T12:38:21.465013+00:00,LAPTOP-RSR05V3M,31040,Code.exe,3.9,5.2,28,running
2026-05-29T12:38:29.837225+00:00,LAPTOP-RSR05V3M,0,System Idle Process,1350.8,0.0,48,running
2026-05-29T12:38:29.837225+00:00,LAPTOP-RSR05V3M,33672,python.exe,77.5,0.4,4,running
2026-05-29T12:38:29.837225+00:00,LAPTOP-RSR05V3M,39472,python.exe,76.8,0.4,5,running
2026-05-29T12:38:29.837225+00:00,LAPTOP-RSR05V3M,4408,MemCompression,14.2,10.5,214,running
2026-05-29T12:38:29.837225+00:00,LAPTOP-RSR05V3M,4,System,9.2,0.0,483,running
2026-05-29T12:38:29.837225+00:00,LAPTOP-RSR05V3M,4288,svchost.exe,6.2,0.1,4,running
2026-05-29T12:38:29.837225+00:00,LAPTOP-RSR05V3M,26688,dwm.exe,4.9,0.5,60,running
2026-05-29T12:38:29.837225+00:00,LAPTOP-RSR05V3M,24116,svchost.exe,4.2,0.1,19,running
2026-05-29T12:38:29.837225+00:00,LAPTOP-RSR05V3M,5640,MsMpEng.exe,3.9,1.2,65,running
2026-05-29T12:38:29.837225+00:00,LAPTOP-RSR05V3M,6436,svchost.exe,3.8,0.1,11,running
2026-05-29T12:38:34.719643+00:00,LAPTOP-RSR05V3M,0,System Idle Process,1343.8,0.0,48,running
2026-05-29T12:38:34.719643+00:00,LAPTOP-RSR05V3M,33672,python.exe,76.9,0.4,4,running
2026-05-29T12:38:34.719643+00:00,LAPTOP-RSR05V3M,39472,python.exe,76.7,0.4,5,running
2026-05-29T12:38:34.719643+00:00,LAPTOP-RSR05V3M,4,System,9.2,0.0,483,running
2026-05-29T12:38:34.719643+00:00,LAPTOP-RSR05V3M,31040,Code.exe,8.0,5.3,28,running
2026-05-29T12:38:34.719643+00:00,LAPTOP-RSR05V3M,24116,svchost.exe,6.4,0.1,19,running
2026-05-29T12:38:34.719643+00:00,LAPTOP-RSR05V3M,26688,dwm.exe,6.2,0.5,60,running
2026-05-29T12:38:34.719643+00:00,LAPTOP-RSR05V3M,6436,svchost.exe,4.2,0.1,11,running
2026-05-29T12:38:34.719643+00:00,LAPTOP-RSR05V3M,5640,MsMpEng.exe,4.0,1.2,65,running
2026-05-29T12:38:34.719643+00:00,LAPTOP-RSR05V3M,4408,MemCompression,3.9,10.5,214,running
2026-05-29T12:38:43.089858+00:00,LAPTOP-RSR05V3M,0,System Idle Process,1350.0,0.0,48,running
2026-05-29T12:38:43.089858+00:00,LAPTOP-RSR05V3M,39472,python.exe,76.7,0.4,5,running
2026-05-29T12:38:43.089858+00:00,LAPTOP-RSR05V3M,33672,python.exe,76.6,0.4,5,running
2026-05-29T12:38:43.089858+00:00,LAPTOP-RSR05V3M,31040,Code.exe,13.2,5.3,28,running
2026-05-29T12:38:43.089858+00:00,LAPTOP-RSR05V3M,4,System,9.8,0.0,483,running
2026-05-29T12:38:43.089858+00:00,LAPTOP-RSR05V3M,26688,dwm.exe,8.5,0.5,60,running
2026-05-29T12:38:43.089858+00:00,LAPTOP-RSR05V3M,24116,svchost.exe,8.1,0.1,19,running
2026-05-29T12:38:43.089858+00:00,LAPTOP-RSR05V3M,10308,CrossDeviceService.exe,5.1,0.6,151,running
2026-05-29T12:38:43.089858+00:00,LAPTOP-RSR05V3M,6436,svchost.exe,4.5,0.1,11,running
2026-05-29T12:38:43.089858+00:00,LAPTOP-RSR05V3M,5640,MsMpEng.exe,4.1,1.2,65,running
2026-05-29T12:38:48.005806+00:00,LAPTOP-RSR05V3M,0,System Idle Process,1340.8,0.0,48,running
2026-05-29T12:38:48.005806+00:00,LAPTOP-RSR05V3M,33672,python.exe,77.1,0.4,5,running
2026-05-29T12:38:48.005806+00:00,LAPTOP-RSR05V3M,39472,python.exe,76.8,0.4,5,running
2026-05-29T12:38:48.005806+00:00,LAPTOP-RSR05V3M,4,System,10.5,0.0,483,running
2026-05-29T12:38:48.005806+00:00,LAPTOP-RSR05V3M,31040,Code.exe,8.6,5.3,28,running
2026-05-29T12:38:48.005806+00:00,LAPTOP-RSR05V3M,26688,dwm.exe,8.0,0.5,60,running
2026-05-29T12:38:48.005806+00:00,LAPTOP-RSR05V3M,24116,svchost.exe,6.4,0.1,19,running
2026-05-29T12:38:48.005806+00:00,LAPTOP-RSR05V3M,6436,svchost.exe,5.2,0.1,11,running
2026-05-29T12:38:48.005806+00:00,LAPTOP-RSR05V3M,5640,MsMpEng.exe,4.2,1.2,65,running
2026-05-29T12:38:48.005806+00:00,LAPTOP-RSR05V3M,5504,RtkBtManServ.exe,3.9,0.0,9,running
2026-05-29T12:38:56.300067+00:00,LAPTOP-RSR05V3M,0,System Idle Process,1363.4,0.0,48,running
2026-05-29T12:38:56.300067+00:00,LAPTOP-RSR05V3M,33672,python.exe,77.0,0.4,5,running
2026-05-29T12:38:56.300067+00:00,LAPTOP-RSR05V3M,39472,python.exe,76.4,0.4,5,running
2026-05-29T12:38:56.300067+00:00,LAPTOP-RSR05V3M,4,System,8.9,0.0,483,running
2026-05-29T12:38:56.300067+00:00,LAPTOP-RSR05V3M,24116,svchost.exe,7.1,0.1,19,running
2026-05-29T12:38:56.300067+00:00,LAPTOP-RSR05V3M,26688,dwm.exe,6.6,0.5,60,running
2026-05-29T12:38:56.300067+00:00,LAPTOP-RSR05V3M,6436,svchost.exe,5.3,0.1,11,running
2026-05-29T12:38:56.300067+00:00,LAPTOP-RSR05V3M,5640,MsMpEng.exe,5.1,1.2,65,running
2026-05-29T12:38:56.300067+00:00,LAPTOP-RSR05V3M,31040,Code.exe,4.6,5.3,28,running
2026-05-29T12:38:56.300067+00:00,LAPTOP-RSR05V3M,5504,RtkBtManServ.exe,4.1,0.0,9,running
2026-05-29T12:39:01.221475+00:00,LAPTOP-RSR05V3M,0,System Idle Process,1354.2,0.0,48,running
2026-05-29T12:39:01.221475+00:00,LAPTOP-RSR05V3M,33672,python.exe,77.0,0.4,5,running
2026-05-29T12:39:01.221475+00:00,LAPTOP-RSR05V3M,39472,python.exe,76.6,0.4,5,running
2026-05-29T12:39:01.221475+00:00,LAPTOP-RSR05V3M,4,System,10.8,0.0,483,running
2026-05-29T12:39:01.221475+00:00,LAPTOP-RSR05V3M,24116,svchost.exe,7.4,0.1,19,running
